,Departamento,Provincia,Distrito,Entidad,Ubicación,TipodeRAEE
0,Amazonas,Chachapoyas,Chachapoyas,Centro de Atención -  CLARO,Jr. Ortiz Arrieta 580,Celulares y sus accesorios
1,Ancash,Huaraz,Huaraz,Centro de Atención -  CLARO,Av. Mariscal Toribio de Luzuriaga 523 -Galerías,Celulares y sus accesorios.
2,Ancash,Santa,Chimbote,Centro de Atención -  CLARO,Av. José Galvez 201,Celulares y sus accesorios.
3,Ancash,Santa,Chimbote,Centro de Atención -  CLARO,Jr. Manuel Villavicencio,Celulares y sus accesorios.
4,Ancash,Santa,Chimbote,Plaza Vea,"Esquina Av. Francisco Bolognesi con Jr. Tumbes 
S/N",Celulares y sus accesorios.
5,Ancash,Santa,Nuevo Chimbote,Plaza Vea,"Pampas del Norte km 424.20 - Colindante al 
aeropuerto",Celulares y sus accesorios.
6,Apurímac,Abancay,Abancay,Centro de Atención -  CLARO,"Esquina Av. Díaz Bárcenas y Jr. Huancavelica 
321",Celulares y sus accesorios.
7,Arequipa,Arequipa,Arequipa,Centro de Atención -  CLARO,"Centro Comercial Parque Lambramani - Av. 
Lambramani 325 Lc Pm 2 Intermedio-1er Piso",Celulares y sus accesorios.
8,Arequipa,Arequipa,Cayma,Plaza Vea,Av. El Ejército 1009,Celulares y sus accesorios.
9,Arequipa,Arequipa,Cercado,Plaza Vea,Av. La Marina 300,Celulares y sus accesorios.
10,Arequipa,Arequipa,Cerro Colorado,Centro de Atención -  CLARO,"Centro Comercial Mall Center Arequipa – Av. 
Aviación 600",Celulares y sus accesorios.
11,Arequipa,Arequipa,Miraflores,Plaza Vea,Av. Arequipa 4651,Celulares y sus accesorios.
12,Arequipa,Arequipa,Paucarpata,Centro de Atención -  CLARO,"Centro Comercial Mall Aventura Plaza Arequipa 
- Av. Porongoche 500 - Cruce Con Calle 
Raymondi S/N - Lc A1074 / A1076",Celulares y sus accesorios.
13,Arequipa,Arequipa,Paucarpata,Centro de Atención -  CLARO,"Centro Comercial Mall Aventura Plaza Arequipa 
- Av. Porongoche 500 - Cruce Con Calle 
Raymondi Lc Sm-1-2-3-4",Celulares y sus accesorios.
14,Arequipa,Arequipa,Yanahuara,Centro de Atención -  CLARO,Av. El Ejército 701,Celulares y sus accesorios.
15,Ayacucho,Huamanga,Huamanga,Centro de Atención -  CLARO,Jr. Cuzco 220 - Centro Ayacucho,Celulares y sus accesorios.
16,Cajamarca,Cajamarca,Cajamarca,Centro de Atención -  CLARO,"Centro Comercial El Quinde - Tiendas Lc301, 
Lc303, Le120 - Jr. Sor Manuela Gil 151, Urb. San 
Carlos",Celulares y sus accesorios.
17,Cajamarca,Cajamarca,Cajamarca,Centro de Atención -  CLARO,"Centro Comercial Real Plaza Cajamarca Local Lc 
205 Av. Evitamiento Esq. Prolong. Ayacucho 
Lote 1 - Barrio San Antonio",Celulares y sus accesorios.
18,Callao,Callao,Bellavista,Centro de Atención -  CLARO,"Centro Comercial Aventura Mall Plaza 
Bellavista, locales  b2003 - b2005 -  Av. Oscar R. 
Benavides 3866",Celulares y sus accesorios.
19,Callao,Callao,Bellavista,Centro de Atención -  CLARO,"Centro Comercial Minka, local l428 - Calle 3 - 
Av. Argentina 3093",Celulares y sus accesorios.
20,Callao,Callao,Callao,Plaza Vea,"Av. Saenz Peña 1250, Bellavista",Celulares y sus accesorios.
21,Callao,Callao,Callao,Plaza Vea,"Av. Oscar Benavides 4929 - Bellavista - A 5 
cdras de cruce de Faucett con Colonial",Celulares y sus accesorios.
22,Cusco,Cusco,Cusco,Centro de Atención -  CLARO,Av. Garcilaso 1101 - Esquina Con Av. El Sol,Celulares y sus accesorios.
23,Cusco,Cusco,Cusco,Centro de Atención -  CLARO,Calle San Andres 342,Celulares y sus accesorios.
24,Cusco,Cusco,Cusco,Centro de Atención -  CLARO,"C.C. Cusco Real Plaza - Seminario San Antonio A-
2 , Local 117/127",Celulares y sus accesorios.
25,Cusco,Cusco,Cusco,Centro de Atención -  CLARO,Calle Ayacucho 227,Celulares y sus accesorios.
26,Cusco,Cusco,Cusco,Centro de Atención -  CLARO,Urb. Manuel Prado N – 8,Celulares y sus accesorios.
27,Huánuco,Huánuco,Huánuco,Centro de Atención -  CLARO,"Centro Comercial Real Plaza, Local B06 - Jr. 
Independencia 1799",Celulares y sus accesorios.
28,Ica,Ica,Ica,Centro de Atención -  CLARO,"Centro Comercial El Quinde, Locales 168 - 169 - 
170 - 171 Y Lf 106 - Av. Los Maestros  206",Celulares y sus accesorios.
29,Ica,Ica,Ica,Centro de Atención -  CLARO,"Centro Comercial Plaza Del Sol De Ica, Local 112 
- Av. San Martín Cdra 9 S/N",Celulares y sus accesorios.
30,Ica,Chincha,Chincha,Centro de Atención -  CLARO,"Centro Comercial Megaplaza Chincha, Local L26 
- Av. Prolongación Benavides 1224",Celulares y sus accesorios.
31,Junín,Huancayo,Huancayo,Centro de Atención -  CLARO,"Centro Comercial Real Plaza Huancayo, Local Ls-
01 - Cruce De Las Av. Giraldes Y Ferrocarril",Celulares y sus accesorios.
32,La Libertad,Trujillo,Trujillo,RLG Perú,"Traperos de Emaús Trujillo - Mza. B Lote Urb. 
Progresiva Metropolitana","1. Grandes electrodomésticos.
2. Pequeños electrodomésticos. 
3. Equipos de informática y telecomunicaciones( a excepción de 
toners sueltos).
4. Aparatos electrónicos de consumo. 
6. Herramientas eléctricas y electrónicas. 
7. Juguetes o equipos deportivos y de tiempo libre. 
8. Aparatos médicos.
9. Instrumentos de vigilancia y control. 
10. Máquinas expendedoras."
33,La Libertad,Trujillo,Trujillo,Plaza Vea,Av. España 2416 – 2420,Celulares y sus accesorios.
34,La Libertad,Trujillo,Trujillo,Plaza Vea,"Av. Prolongación Unión 2218 - Cruce con Av. 
Pesqueda",Celulares y sus accesorios.
35,La Libertad,Trujillo,Trujillo,Plaza Vea,Fundo Las Casuarinas Sub Lote Predio A Lote 5,Celulares y sus accesorios.
36,La Libertad,Trujillo,Trujillo,Centro de Atención -  CLARO,Mariscal Orbegoso 503/509,Celulares y sus accesorios.
37,La Libertad,Trujillo,Trujillo,Centro de Atención -  CLARO,"Centro Comercial Real Plaza Tda 01 Av. Fátima 
Sn Urb. El Golf",Celulares y sus accesorios.
38,La Libertad,Trujillo,Trujillo,Centro de Atención -  CLARO,Av. Húsares de Junín 1105 esq. Av. América Sur,Celulares y sus accesorios.
39,La Libertad,Trujillo,Trujillo,Centro de Atención -  CLARO,"Centro Comercial Mall Aventura Plaza  Tda. 
1029, 1033, 1037, 1041, 1047 - Av. América 
Oeste 750",Celulares y sus accesorios.
40,La Libertad,Trujillo,Trujillo,Sede Trujillo - CLARO,Av. Larco 827/847 Urb. La Merced,Celulares y sus accesorios.
41,Lambayeque,Chiclayo,Chiclayo,Plaza Vea,"Av. Miguel de Cervantes 300 Int Lt. 6 - Centro 
Comercial Real Plaza",Celulares y sus accesorios.
42,Lambayeque,Chiclayo,Chiclayo,Centro de Atención -  CLARO,"C.C. Real Plaza Tienda 102 - Av. Miguel De 
Cervantes 300",Celulares y sus accesorios.
43,Lambayeque,Chiclayo,Chiclayo,Centro de Atención -  CLARO,Jr. Elías Aguirre 766,Celulares y sus accesorios.
44,Lambayeque,Chiclayo,Chiclayo,Centro de Atención -  CLARO,"Av. Balta 650, Cercado",Celulares y sus accesorios.
45,Lima,Lima,Los Olivos,"SONY Perú
http://www.viveelcambio.com/",Av. Alfredo Mendiola 5869-A,"Celulares, equipos de audio, cámaras digitales, televisores, 
reproductores de MP3/MP4, y equipos de cómputo"
46,Lima,Lima,Barranco,ASPAGER,"Se recolocará en el Centro Integral de Adulto 
Mayor (Av. El Sol, frente a Estudio 4)","Televisores, equipos de cómputo celulares y sus accesorios, 
tablets, pequeños electrodomésticos."
47,Lima,Lima,Miraflores,"BROTHER INTERNATICIONAL DEL PERU 
S.A.C.","Calle Alcanfores N° 199, Oficina 203.","Impresoras, multifuncionales, etiquetadoras, máquinas de coser, 
rotuladoras y suministro."
48,Lima,Lima,Miraflores,"ASPAGER y Municipalidad Distrital 
Miraflores","Estadio Manuel Bonilla. Av. Ejército Cuadra 13. 
Miraflores, Programa “Basura que no es 
Basura”","Televisores, equipos de cómputo celulares y sus accesorios, 
tablets, pequeños electrodomésticos."
49,Lima,Lima,San Borja,"SONY Perú
http://www.viveelcambio.com/",Av. Velasco Astete 996 (Sony Store),"Celulares, equipos de audio, cámaras digitales, televisores, 
reproductores de MP3/MP4, y equipos de cómputo"
50,Lima,Lima,Ate,Plaza Vea,"Av. Nicolas Ayllón Sector B. Mz B Lte.4  Zona A - 
Baja Esq. con Av. La Mar",Celulares y sus accesorios.
51,Lima,Lima,Ate,Plaza Vea,Av. Circunvalación 2769 CC. Los Recaudadores,Celulares y sus accesorios.
52,Lima,Lima,Ate,Centro de Atención -  CLARO,"Centro Comercial Real Plaza, locales 149-150-
151 - Av. Nicolás Ayllón 8694",Celulares y sus accesorios.
53,Lima,Lima,Ate,"Municipalidad Distrital de Ate  y RLG 
Perú",Av. Acapulco N° 521 - Manylsa,"1. Grandes electrodomésticos.
2. Pequeños electrodomésticos. 
3. Equipos de informática y telecomunicaciones( a excepción de 
toners sueltos).
4. Aparatos electrónicos de consumo. 
6. Herramientas eléctricas y electrónicas. 
7. Juguetes o equipos deportivos y de tiempo libre. 
8. Aparatos médicos.
9. Instrumentos de vigilancia y control. 
10. Máquinas expendedoras."
54,Lima,Lima,Barranco,Plaza Vea,Av. República de Panamá 515,Celulares y sus accesorios.
55,Lima,Lima,Breña,Centro de Atención -  CLARO,CC La Rambla - Av. Brasil 778,Celulares y sus accesorios.
56,Lima,Lima,Callao,Cosmos,"Jr. Mariscal Miller 450, piso 9",Celulares y sus accesorios. CLARO
57,Lima,Lima,Cercado de Lima,Plaza Vea,"Av. Uruguay 568-596  esq. Av. Alfonso Ugarte  
1103 al 1179",Celulares y sus accesorios.
58,Lima,Lima,Cercado de Lima,Plaza Vea,Av. Inca Garcilaso de La Vega 1383,Celulares y sus accesorios.
59,Lima,Lima,Cercado de Lima,Distribuidor Autorizado - CLARO,Jr. De La Unión 499,Celulares y sus accesorios.
60,Lima,Lima,Cercado de Lima,Centro de Atención -  CLARO,Jr. de la Unión 449 - Cercado de Lima,Celulares y sus accesorios.
61,Lima,Lima,Cercado de Lima,Centro de Atención -  CLARO,"Centro Comercial Real Plaza - Centro  Cívico,  
Edf L1 int 2040 - Av. Inca Garcilaso de la Vega 
1337",Celulares y sus accesorios.
62,Lima,Lima,Cercado de Lima,Centro de Atención -  CLARO,"Centro Comercial Real Plaza - Centro  Cívico,  
Locales 116 - 117 - Av. Paseo de la República 
170 - Sheraton",Celulares y sus accesorios.
63,Lima,Lima,Chorrillos,Plaza Vea,"Av. Alameda Sur cruce Av. San Marcos  (frente 
al grifo Repsol)",Celulares y sus accesorios.
64,Lima,Lima,Chorrillos,Plaza Vea,Av. Guardia Civil. No. 927 - Urb. La Campiña,Celulares y sus accesorios.
65,Lima,Lima,Chorrillos,Centro de Atención -  CLARO,"CC Plaza Lima Sur / Av. Paseo de la República 
S/N Matellini – Chorrillos",Celulares y sus accesorios.
66,Lima,Lima,Independencia,Centro de Atención -  CLARO,CC Mega Plaza / Av. Alfredo Mendiola 3698,Celulares y sus accesorios.
67,Lima,Lima,Independencia,Centro de Atención -  CLARO,"CC Plaza Lima Norte / Cruce Panamericana 
Norte con Tomás Valle",Celulares y sus accesorios.
68,Lima,Lima,Jesus María,Plaza Vea,Av. Brasil 1599,Celulares y sus accesorios.
69,Lima,Lima,Jesús María,Centro de Atención -  CLARO,"CC Real Plaza Salaverry / Av. Salaverry S/N cdra. 
24",Celulares y sus accesorios.
70,Lima,Lima,La Molina,Vivanda,"Av. La Molina cdra.27 Alt. con las Cascadas - 
Rinconada Alta",Celulares y sus accesorios. CLARO
71,Lima,Lima,La Molina,Plaza Vea,Av. Raúl Ferrero 1250 - Mz 1 El Remanso,Celulares y sus accesorios.
72,Lima,Lima,La Molina,Centro de Atención -  CLARO,Av. Raul Ferrero 1354 Urb. El Remanso,Celulares y sus accesorios.
73,Lima,Lima,La Molina,Almi International S.A.C.,Universidad Nacional Agraria La Molina,"Pequeños electromesticos, equipos de informatica y 
telecomunicaciones y aparatos electrónicos de consumo."
74,Lima,Lima,La Molina,Municipalidad de La Molina,CC Molina Plaza – Av. Raúl Ferrero,"Pequeños electrodomésticos, periféricos de computación."
75,Lima,Lima,La Molina,Municipalidad de La Molina,"Palacio Municipal - Av. Ricardo Elias Aparicio 
740","Pequeños electrodomésticos, periféricos de computación."
76,Lima,Lima,La Molina,Municipalidad de La Molina,"Centro Integral del Adulto Mayor - CIAM -  Av. 
Alameda del Corregidor Cdra. 5","Pequeños electrodomésticos, periféricos de computación."
77,Lima,Lima,La Victoria,Sede Arriola - CLARO,Av. Nicolás Arriola 480,Celulares y sus accesorios.
78,Lima,Lima,La Victoria,Centro de Atención -  CLARO,"Antonio Baso 640, Nivel 2 - Tienda 22",Celulares y sus accesorios.
79,Lima,Lima,Lima,RLG Perú,Makro Surco - Av. Jorge Chávez 1218,"1. Grandes electrodomésticos.
2. Pequeños electrodomésticos. 
3. Equipos de informática y telecomunicaciones( a excepción de 
toners sueltos).
4. Aparatos electrónicos de consumo. 
6. Herramientas eléctricas y electrónicas. 
7. Juguetes o equipos deportivos y de tiempo libre. 
8. Aparatos médicos.
9. Instrumentos de vigilancia y control. 
10. Máquinas expendedoras."
80,Lima,Lima,Lince,Plaza Vea,Av. Arequipa 2250,Celulares y sus accesorios.
81,Lima,Lima,Lince,Centro de Atención -  CLARO,"Av. Arenales n°2283, Esquina con Thomas 
Guido",Celulares y sus accesorios.
82,Lima,Lima,Lince,"CONSULTORIA & LOGISTICA INVERSA 
S.A.C","Proveedores Y Servicios V&V S.A. (Solo 
Categoría 1, 2, 3 Y 4) Av. General César 
Canevaro N°753 Int.602","1. Grandes electrodomésticos.
2. Pequeños electrodomésticos. 
3. Equipos de informática y telecomunicaciones.
4. Aparatos electrónicos de consumo."
83,Lima,Lima,Lince,ASPAGER,"Parque Mariscal Castilla. Cruce de Jr Almirante 
Martín Guisse y Joaquín Bernal","Televisores, equipos de cómputo celulares y sus accesorios, 
tablets, pequeños electrodomésticos."
84,Lima,Lima,Lince,ASPAGER,"Parque Santos Dumont. Francisco
Masías s/n","Televisores, equipos de cómputo celulares y sus accesorios, 
tablets, pequeños electrodomésticos."
85,Lima,Lima,Los Olivos,Plaza Vea,"Av. Antúnez de Mayolo Cdra. 9 Esquina con 
Calle Orión Mz B1 Lt 2 -  Urb. Mercurio",Celulares y sus accesorios.
86,Lima,Lima,Lurín,Plaza Vea,"Urb. San Vicente  S/N.   Calle Antigua 
Panamericana Sur Parcela  B-43",Celulares y sus accesorios.
87,Lima,Lima,Magdalena,Vivanda,Av. Javier Prado Oeste 999,Celulares y sus accesorios. CLARO
88,Lima,Lima,Miraflores,Vivanda,Av. Benavides 495,Celulares y sus accesorios. CLARO
